	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Taxid_domain	SpeciesName	Cultured	Isolated	Collection
GCF_001703935.1	PRJNA224116	SAMN05371506	MBLU00000000.1	na	1598	1598.0	Lactobacillus reuteri	strain=484_39		latest	Scaffold	Major	Full	2016/08/11	ASM170393v1	Sheba Medical Center	GCA_001703935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/935/GCF_001703935.1_ASM170393v1			2.0		True	True	
GCF_001712855.1	PRJNA224116	SAMN03801592		na	1679001	1679001.0	Pasteurellaceae bacterium NI1060		NI1060	latest	Chromosome	Major	Full	2016/08/25	ASM171285v1	Vrije Universiteit Brussel	GCA_001712855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/712/855/GCF_001712855.1_ASM171285v1			2.0		True	True	
GCF_001714745.1	PRJNA224116	SAMN04631277		na	33959	33959.0	Lactobacillus johnsonii	strain=BS15		latest	Complete Genome	Major	Full	2016/08/26	ASM171474v1	Sichuan Agriculture University	GCA_001714745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/714/745/GCF_001714745.1_ASM171474v1			2.0		True	True	
GCF_001753225.1	PRJNA224116	SAMN05828192		representative genome	180282	180282.0	Delftia tsuruhatensis	strain=CM13		latest	Complete Genome	Major	Full	2016/10/06	ASM175322v1	Institut Pasteur de Paris	GCA_001753225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/225/GCF_001753225.1_ASM175322v1			2.0		True	True	
GCF_001901025.1	PRJNA224116	SAMN03252439		na	562	562.0	Escherichia coli	strain=M1		latest	Complete Genome	Major	Full	2016/12/12	ASM190102v1	Nanjing Agricultural University	GCA_001901025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/025/GCF_001901025.1_ASM190102v1			2.0		True	True	
GCF_001901045.1	PRJNA224116	SAMN03252440		na	562	562.0	Escherichia coli	strain=M3		latest	Complete Genome	Major	Full	2016/12/12	ASM190104v1	Nanjing Agricultural University	GCA_001901045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/045/GCF_001901045.1_ASM190104v1			2.0		True	True	
GCF_001901065.1	PRJNA224116	SAMN03252441		na	562	562.0	Escherichia coli	strain=M6		latest	Complete Genome	Major	Full	2016/12/12	ASM190106v1	Nanjing Agricultural University	GCA_001901065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/065/GCF_001901065.1_ASM190106v1			2.0		True	True	
GCF_001901085.1	PRJNA224116	SAMN03252442		na	562	562.0	Escherichia coli	strain=M8		latest	Complete Genome	Major	Full	2016/12/12	ASM190108v1	Nanjing Agricultural University	GCA_001901085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/085/GCF_001901085.1_ASM190108v1			2.0		True	True	
GCF_001901105.1	PRJNA224116	SAMN03252443		na	562	562.0	Escherichia coli	strain=M9		latest	Complete Genome	Major	Full	2016/12/12	ASM190110v1	Nanjing Agricultural University	GCA_001901105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/105/GCF_001901105.1_ASM190110v1			2.0		True	True	
GCF_001901125.1	PRJNA224116	SAMN03252444		na	562	562.0	Escherichia coli	strain=M10		latest	Complete Genome	Major	Full	2016/12/12	ASM190112v1	Nanjing Agricultural University	GCA_001901125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/125/GCF_001901125.1_ASM190112v1			2.0		True	True	
GCF_001901145.1	PRJNA224116	SAMN03252445		na	562	562.0	Escherichia coli	strain=M11		latest	Complete Genome	Major	Full	2016/12/12	ASM190114v1	Nanjing Agricultural University	GCA_001901145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/145/GCF_001901145.1_ASM190114v1			2.0		True	True	
GCF_001901165.1	PRJNA224116	SAMN03252446		na	562	562.0	Escherichia coli	strain=M15		latest	Complete Genome	Major	Full	2016/12/12	ASM190116v1	Nanjing Agricultural University	GCA_001901165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/165/GCF_001901165.1_ASM190116v1			2.0		True	True	
GCF_001901185.1	PRJNA224116	SAMN03252447		na	562	562.0	Escherichia coli	strain=M18		latest	Complete Genome	Major	Full	2016/12/12	ASM190118v1	Nanjing Agricultural University	GCA_001901185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/185/GCF_001901185.1_ASM190118v1			2.0		True	True	
GCF_001901215.1	PRJNA224116	SAMN03252448		na	562	562.0	Escherichia coli	strain=M19		latest	Complete Genome	Major	Full	2016/12/12	ASM190121v1	Nanjing Agricultural University	GCA_001901215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/215/GCF_001901215.1_ASM190121v1			2.0		True	True	
GCF_001901315.1	PRJNA224116	SAMN03252449		na	562	562.0	Escherichia coli	strain=S1		latest	Complete Genome	Major	Full	2016/12/12	ASM190131v1	Nanjing Agricultural University	GCA_001901315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/315/GCF_001901315.1_ASM190131v1			2.0		True	True	
GCF_001931505.1	PRJNA224116	SAMN05433522		representative genome	1882918	1882918.0	Pajaroellobacter abortibovis	strain=BTF92-0548A/99-0131		latest	Chromosome	Major	Full	2017/01/04	ASM193150v1	University of California, Davis	GCA_001931505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/505/GCF_001931505.1_ASM193150v1			2.0		True	True	
GCF_001972545.1	PRJNA224116	SAMN05414469	MTTE00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051890		latest	Contig	Major	Full	2017/01/26	ASM197254v1	Center for Food Safety and Applied Nutrition	GCA_001972545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/545/GCF_001972545.1_ASM197254v1			2.0		True	True	
GCF_001972555.1	PRJNA224116	SAMN05414468	MTTF00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051889		latest	Contig	Major	Full	2017/01/26	ASM197255v1	Center for Food Safety and Applied Nutrition	GCA_001972555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/555/GCF_001972555.1_ASM197255v1			2.0		True	True	
GCF_001972565.1	PRJNA224116	SAMN05414463	MTTK00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051884		latest	Contig	Major	Full	2017/01/26	ASM197256v1	Center for Food Safety and Applied Nutrition	GCA_001972565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/565/GCF_001972565.1_ASM197256v1			2.0		True	True	
GCF_001972575.1	PRJNA224116	SAMN05414462	MTTL00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051883		latest	Contig	Major	Full	2017/01/26	ASM197257v1	Center for Food Safety and Applied Nutrition	GCA_001972575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/575/GCF_001972575.1_ASM197257v1			2.0		True	True	
GCF_001972625.1	PRJNA224116	SAMN05414461	MTTM00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051882		latest	Contig	Major	Full	2017/01/26	ASM197262v1	Center for Food Safety and Applied Nutrition	GCA_001972625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/625/GCF_001972625.1_ASM197262v1			2.0		True	True	
GCF_001972635.1	PRJNA224116	SAMN05414454	MTTS00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051875		latest	Contig	Major	Full	2017/01/26	ASM197263v1	Center for Food Safety and Applied Nutrition	GCA_001972635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/635/GCF_001972635.1_ASM197263v1			2.0		True	True	
GCF_001972645.1	PRJNA224116	SAMN05414453	MTTT00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051874		latest	Contig	Major	Full	2017/01/26	ASM197264v1	Center for Food Safety and Applied Nutrition	GCA_001972645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/645/GCF_001972645.1_ASM197264v1			2.0		True	True	
GCF_001972675.1	PRJNA224116	SAMN05414451	MTTV00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051872		latest	Contig	Major	Full	2017/01/26	ASM197267v1	Center for Food Safety and Applied Nutrition	GCA_001972675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/675/GCF_001972675.1_ASM197267v1			2.0		True	True	
GCF_001972705.1	PRJNA224116	SAMN05414450	MTTW00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051871		latest	Contig	Major	Full	2017/01/26	ASM197270v1	Center for Food Safety and Applied Nutrition	GCA_001972705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/705/GCF_001972705.1_ASM197270v1			2.0		True	True	
GCF_001972715.1	PRJNA224116	SAMN05414446	MTUA00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051866		latest	Contig	Major	Full	2017/01/26	ASM197271v1	Center for Food Safety and Applied Nutrition	GCA_001972715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/715/GCF_001972715.1_ASM197271v1			2.0		True	True	
GCF_001972725.1	PRJNA224116	SAMN05414445	MTUB00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051865		latest	Contig	Major	Full	2017/01/26	ASM197272v1	Center for Food Safety and Applied Nutrition	GCA_001972725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/725/GCF_001972725.1_ASM197272v1			2.0		True	True	
GCF_001972735.1	PRJNA224116	SAMN05414441	MTUE00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051861		latest	Contig	Major	Full	2017/01/26	ASM197273v1	Center for Food Safety and Applied Nutrition	GCA_001972735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/735/GCF_001972735.1_ASM197273v1			2.0		True	True	
GCF_001972785.1	PRJNA224116	SAMN05414439	MTUG00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051859		latest	Contig	Major	Full	2017/01/26	ASM197278v1	Center for Food Safety and Applied Nutrition	GCA_001972785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/785/GCF_001972785.1_ASM197278v1			2.0		True	True	
GCF_001972795.1	PRJNA224116	SAMN05414438	MTUH00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051858		latest	Contig	Major	Full	2017/01/26	ASM197279v1	Center for Food Safety and Applied Nutrition	GCA_001972795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/795/GCF_001972795.1_ASM197279v1			2.0		True	True	
GCF_001972815.1	PRJNA224116	SAMN05414437	MTUI00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051856		latest	Contig	Major	Full	2017/01/26	ASM197281v1	Center for Food Safety and Applied Nutrition	GCA_001972815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/815/GCF_001972815.1_ASM197281v1			2.0		True	True	
GCF_001972835.1	PRJNA224116	SAMN05414433	MTUM00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051852		latest	Contig	Major	Full	2017/01/26	ASM197283v1	Center for Food Safety and Applied Nutrition	GCA_001972835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/835/GCF_001972835.1_ASM197283v1			2.0		True	True	
GCF_001972865.1	PRJNA224116	SAMN05414430	MTUO00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051849		latest	Contig	Major	Full	2017/01/26	ASM197286v1	Center for Food Safety and Applied Nutrition	GCA_001972865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/865/GCF_001972865.1_ASM197286v1			2.0		True	True	
GCF_001972875.1	PRJNA224116	SAMN05414428	MTUQ00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051847		latest	Contig	Major	Full	2017/01/26	ASM197287v1	Center for Food Safety and Applied Nutrition	GCA_001972875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/875/GCF_001972875.1_ASM197287v1			2.0		True	True	
GCF_001972905.1	PRJNA224116	SAMN05414427	MTUR00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051846		latest	Contig	Major	Full	2017/01/26	ASM197290v1	Center for Food Safety and Applied Nutrition	GCA_001972905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/905/GCF_001972905.1_ASM197290v1			2.0		True	True	
GCF_001972915.1	PRJNA224116	SAMN05414422	MTUW00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051841		latest	Contig	Major	Full	2017/01/26	ASM197291v1	Center for Food Safety and Applied Nutrition	GCA_001972915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/915/GCF_001972915.1_ASM197291v1			2.0		True	True	
GCF_001972945.1	PRJNA224116	SAMN05414418	MTVA00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051837		latest	Contig	Major	Full	2017/01/26	ASM197294v1	Center for Food Safety and Applied Nutrition	GCA_001972945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/945/GCF_001972945.1_ASM197294v1			2.0		True	True	
GCF_001972955.1	PRJNA224116	SAMN05414421	MTUX00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051840		latest	Contig	Major	Full	2017/01/26	ASM197295v1	Center for Food Safety and Applied Nutrition	GCA_001972955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/955/GCF_001972955.1_ASM197295v1			2.0		True	True	
GCF_001972985.1	PRJNA224116	SAMN05414415	MTVD00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051834		latest	Contig	Major	Full	2017/01/26	ASM197298v1	Center for Food Safety and Applied Nutrition	GCA_001972985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/985/GCF_001972985.1_ASM197298v1			2.0		True	True	
GCF_001972995.1	PRJNA224116	SAMN05414416	MTVC00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051835		latest	Contig	Major	Full	2017/01/26	ASM197299v1	Center for Food Safety and Applied Nutrition	GCA_001972995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/972/995/GCF_001972995.1_ASM197299v1			2.0		True	True	
GCF_001973025.1	PRJNA224116	SAMN05414406	MTVM00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051825		latest	Contig	Major	Full	2017/01/26	ASM197302v1	Center for Food Safety and Applied Nutrition	GCA_001973025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/025/GCF_001973025.1_ASM197302v1			2.0		True	True	
GCF_001973035.1	PRJNA224116	SAMN05414405	MTVN00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051824		latest	Contig	Major	Full	2017/01/26	ASM197303v1	Center for Food Safety and Applied Nutrition	GCA_001973035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/035/GCF_001973035.1_ASM197303v1			2.0		True	True	
GCF_001973065.1	PRJNA224116	SAMN05414404	MTVO00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051823		latest	Contig	Major	Full	2017/01/26	ASM197306v1	Center for Food Safety and Applied Nutrition	GCA_001973065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/065/GCF_001973065.1_ASM197306v1			2.0		True	True	
GCF_001973085.1	PRJNA224116	SAMN05414470	MTTD00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051891		latest	Contig	Major	Full	2017/01/26	ASM197308v1	Center for Food Safety and Applied Nutrition	GCA_001973085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/085/GCF_001973085.1_ASM197308v1			2.0		True	True	
GCF_001973105.1	PRJNA224116	SAMN05414467	MTTG00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051888		latest	Contig	Major	Full	2017/01/26	ASM197310v1	Center for Food Safety and Applied Nutrition	GCA_001973105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/105/GCF_001973105.1_ASM197310v1			2.0		True	True	
GCF_001973115.1	PRJNA224116	SAMN05414466	MTTH00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051887		latest	Contig	Major	Full	2017/01/26	ASM197311v1	Center for Food Safety and Applied Nutrition	GCA_001973115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/115/GCF_001973115.1_ASM197311v1			2.0		True	True	
GCF_001973145.1	PRJNA224116	SAMN05414465	MTTI00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051886		latest	Contig	Major	Full	2017/01/26	ASM197314v1	Center for Food Safety and Applied Nutrition	GCA_001973145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/145/GCF_001973145.1_ASM197314v1			2.0		True	True	
GCF_001973165.1	PRJNA224116	SAMN05414464	MTTJ00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051885		latest	Contig	Major	Full	2017/01/26	ASM197316v1	Center for Food Safety and Applied Nutrition	GCA_001973165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/165/GCF_001973165.1_ASM197316v1			2.0		True	True	
GCF_001973185.1	PRJNA224116	SAMN05414460	MTTN00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051881		latest	Contig	Major	Full	2017/01/26	ASM197318v1	Center for Food Safety and Applied Nutrition	GCA_001973185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/185/GCF_001973185.1_ASM197318v1			2.0		True	True	
GCF_001973195.1	PRJNA224116	SAMN05414459	MTTO00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051880		latest	Contig	Major	Full	2017/01/26	ASM197319v1	Center for Food Safety and Applied Nutrition	GCA_001973195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/195/GCF_001973195.1_ASM197319v1			2.0		True	True	
GCF_001973225.1	PRJNA224116	SAMN05414457	MTTP00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051878		latest	Contig	Major	Full	2017/01/26	ASM197322v1	Center for Food Safety and Applied Nutrition	GCA_001973225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/225/GCF_001973225.1_ASM197322v1			2.0		True	True	
GCF_001973245.1	PRJNA224116	SAMN05414456	MTTQ00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051877		latest	Contig	Major	Full	2017/01/26	ASM197324v1	Center for Food Safety and Applied Nutrition	GCA_001973245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/245/GCF_001973245.1_ASM197324v1			2.0		True	True	
GCF_001973265.1	PRJNA224116	SAMN05414455	MTTR00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051876		latest	Contig	Major	Full	2017/01/26	ASM197326v1	Center for Food Safety and Applied Nutrition	GCA_001973265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/265/GCF_001973265.1_ASM197326v1			2.0		True	True	
GCF_001973275.2	PRJNA224116	SAMN05414452		na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051873		latest	Complete Genome	Major	Full	2017/06/26	ASM197327v2	Center for Food Safety and Applied Nutrition	GCA_001973275.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/275/GCF_001973275.2_ASM197327v2			2.0		True	True	
GCF_001973305.1	PRJNA224116	SAMN05414449	MTTX00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051870		latest	Contig	Major	Full	2017/01/26	ASM197330v1	Center for Food Safety and Applied Nutrition	GCA_001973305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/305/GCF_001973305.1_ASM197330v1			2.0		True	True	
GCF_001973325.1	PRJNA224116	SAMN05414448	MTTY00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051868		latest	Contig	Major	Full	2017/01/26	ASM197332v1	Center for Food Safety and Applied Nutrition	GCA_001973325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/325/GCF_001973325.1_ASM197332v1			2.0		True	True	
GCF_001973345.1	PRJNA224116	SAMN05414444	MTUC00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051864		latest	Contig	Major	Full	2017/01/26	ASM197334v1	Center for Food Safety and Applied Nutrition	GCA_001973345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/345/GCF_001973345.1_ASM197334v1			2.0		True	True	
GCF_001973355.1	PRJNA224116	SAMN05414447	MTTZ00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051867		latest	Contig	Major	Full	2017/01/26	ASM197335v1	Center for Food Safety and Applied Nutrition	GCA_001973355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/355/GCF_001973355.1_ASM197335v1			2.0		True	True	
GCF_001973385.1	PRJNA224116	SAMN05414442	MTUD00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051862		latest	Contig	Major	Full	2017/01/26	ASM197338v1	Center for Food Safety and Applied Nutrition	GCA_001973385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/385/GCF_001973385.1_ASM197338v1			2.0		True	True	
GCF_001973405.1	PRJNA224116	SAMN05414440	MTUF00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051860		latest	Contig	Major	Full	2017/01/26	ASM197340v1	Center for Food Safety and Applied Nutrition	GCA_001973405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/405/GCF_001973405.1_ASM197340v1			2.0		True	True	
GCF_001973425.1	PRJNA224116	SAMN05414436	MTUJ00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051855		latest	Contig	Major	Full	2017/01/26	ASM197342v1	Center for Food Safety and Applied Nutrition	GCA_001973425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/425/GCF_001973425.1_ASM197342v1			2.0		True	True	
GCF_001973435.1	PRJNA224116	SAMN05414435	MTUK00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051854		latest	Contig	Major	Full	2017/01/26	ASM197343v1	Center for Food Safety and Applied Nutrition	GCA_001973435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/435/GCF_001973435.1_ASM197343v1			2.0		True	True	
GCF_001973465.1	PRJNA224116	SAMN05414434	MTUL00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051853		latest	Contig	Major	Full	2017/01/26	ASM197346v1	Center for Food Safety and Applied Nutrition	GCA_001973465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/465/GCF_001973465.1_ASM197346v1			2.0		True	True	
GCF_001973475.1	PRJNA224116	SAMN05414432	MTUN00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051851		latest	Contig	Major	Full	2017/01/26	ASM197347v1	Center for Food Safety and Applied Nutrition	GCA_001973475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/475/GCF_001973475.1_ASM197347v1			2.0		True	True	
GCF_001973505.1	PRJNA224116	SAMN05414426	MTUS00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051845		latest	Contig	Major	Full	2017/01/26	ASM197350v1	Center for Food Safety and Applied Nutrition	GCA_001973505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/505/GCF_001973505.1_ASM197350v1			2.0		True	True	
GCF_001973515.1	PRJNA224116	SAMN05414429	MTUP00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051848		latest	Contig	Major	Full	2017/01/26	ASM197351v1	Center for Food Safety and Applied Nutrition	GCA_001973515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/515/GCF_001973515.1_ASM197351v1			2.0		True	True	
GCF_001973545.1	PRJNA224116	SAMN05414425	MTUT00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051844		latest	Contig	Major	Full	2017/01/26	ASM197354v1	Center for Food Safety and Applied Nutrition	GCA_001973545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/545/GCF_001973545.1_ASM197354v1			2.0		True	True	
GCF_001973565.1	PRJNA224116	SAMN05414424	MTUU00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051843		latest	Contig	Major	Full	2017/01/26	ASM197356v1	Center for Food Safety and Applied Nutrition	GCA_001973565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/565/GCF_001973565.1_ASM197356v1			2.0		True	True	
GCF_001973585.1	PRJNA224116	SAMN05414420	MTUY00000000.1	na	149539	28901.0	Salmonella enterica subsp. enterica serovar Enteritidis	strain=CFSAN051839		latest	Contig	Major	Full	2017/01/26	ASM197358v1	Center for Food Safety and Applied Nutrition	GCA_001973585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/973/585/GCF_001973585.1_ASM197358v1			2.0		True	True	
